 Nave, G., Johansson, S., Learner, R.C.M., Thorne, A.P., Brault, J.W. 1994.
  ApJSupp 94, 221-459.
 Schoenfeld, W.G., Chang, E.S., Geller, M., Johansson, S., Nave, G.,
  Sauval, A.J., and Grevesse, N. 1995. A&A, 301, 593-601.
   4.0  60754.71 ?    d6(1D)4s4p(1P) 3F   1Dsp1P 3F    not in Nave
   3.0     53773.590             d6(3D)4s4p(3P)4p 5F      3Dsp3P 5F  typo 
       in Sugar and Corliss 53733.583

   5.0  @  45294.843     1.207   d6(3H)4s4p(3P) y3G       3Hsp3P y3G
   2.0     45333.872     1.503   3d6 4s(6D)5s e5D         s6D)5s e5D
   4.0  @  45428.399     1.053   d6(3H)4s4p(3P) y3G       3Hsp3P y3G
   1.0     45509.149     1.518   3d6 4s(6D)5s e5D         s6D)5s e5D
   1.0  @  45551.764     0.556   d6(a3P)4s4p(3P)          3Psp3P x3D
   3.0  @  45562.971     0.765   d6(3H)4s4p(3P) y3G       3Hsp3P y3G
   0.0     45595.083             3d6 4s(6D)5s e5D         s6D)5s e5D
   6.0  @  45608.358     1.336   d6(a3F)4s4p(3P) x5G      3Fsp3P x5G
   5.0  @  45726.127     1.269   d6(a3F)4s4p(3P) x5G      3Fsp3P x5G
   4.0  @  45833.220     1.158   d6(a3F)4s4p(3P) x5G      3Fsp3P x5G
   3.0  @  45913.494     0.928   d6(a3F)4s4p(3P) x5G      3Fsp3P x5G
   2.0  @  45964.954     0.323   d6(a3F)4s4p(3P) x5G      3Fsp3P x5G
   7.0  @  45978.005     1.149   d6(3H)4s4p(3P) z3I       3Hsp3P z3I
   6.0  @  46026.968     1.040   d6(3H)4s4p(3P) z3I       3Hsp3P z3I
   5.0  @  46135.817     0.833   d6(3H)4s4p(3P) z3I       3Hsp3P z3I
   3.0  @  46137.094     1.658   d7(4P)4p w5P             (4P)4p w5P
   2.0  @  46313.534     1.822   d7(4P)4p w5P             (4P)4p w5P
   1.0  @  46410.378     2.436   d7(4P)4p w5P             (4P)4p w5P
   1.0  @  46600.815     1.888   d6(a3P)4s4p(3P) z3S      3Psp3P z3S
   0.0  @  46672.537             d6(a3P)4s4p(3P) y3P      3Psp3P y3P
   4.0  @  46720.839     1.341   d7(4P)4p u5D             (4P)4p u5D
   2.0  @  46727.071     1.444   d6(a3P)4s4p(3P) y3P      3Psp3P y3P
   3.0  @  46744.990     1.397   d7(4P)4p u5D             (4P)4p u5D
   2.0  @  46888.514     1.260   d7(4P)4p u3D             (4P)4p u3D
   4.0  @  46889.139     1.344   d6(a3F)4s4p(3P) x3F      3Fsp3P x3F
   1.0  @  46901.829     1.600   d6(a3P)4s4p(3P) y3P      3Psp3P y3P
   6.0  @  46982.317     1.200   d6(3H)4s4p(3P) z3H       3Hsp3P z3H
   5.0     47005.503     1.421   3d7(4F)5s e5F            (4F)5s e5F
   5.0  @  47008.368     1.060   d6(3H)4s4p(3P) z3H       3Hsp3P z3H
   3.0  @  47017.185     1.346   d7(4P)4p w3D             (4P)4p w3D
   3.0  @  47092.709     1.159   d6(a3F)4s4p(3P) x3F      3Fsp3P x3F
   4.0  @  47106.481     0.880   d6(3H)4s4p(3P) z3H       3Hsp3P z3H
   2.0  @  47136.081     1.216   d7(4P)4p w5D             (4P)4p w5D
   0.0  @  47171.528             d7(4P)4p 5D              (4P)4p u5D
   1.0  @  47177.231     1.410   d7(4P)4p u5D             (4P)4p u5D
   2.0  @  47197.007     0.743   d6(a3F)4s4p(3P) x3F      (3F)sp x3F
   1.0  @  47272.024     0.767   d7(4P)4p w3D             (4P)4p w3D
   6.0  @  47363.373     1.306   d6(3G)4s4p(3P) w5G       3Gsp3P w5G
   4.0     47377.952     1.331   3d7(4F)5s e5F            (4F)5s e5F
   2.0  @  47419.684     1.137   d6(a3P)4s4p(3P) 1D       3Psp3P 1D
   5.0  @  47420.225     1.305   d6(3G)4s4p(3P) w5G       3Gsp3P w5G
   4.0  @  47452.714     1.025   d7(2G)4p z1G             (2G)4p z1G  
   1.0  @  47555.607     1.884   d7(4P)4p y3S             (4P)4p y3S
   4.0  @  47590.045     1.145   d6(3G)4s4p(3P) w5G       3Gsp3P w5G 
   5.0  @  47606.111     1.317   d6(3G)4s4p(3P) v5F       3Gsp3P v5F
   3.0  @  47693.236     0.931   d6(3G)4s4p(3P) w5G       3Gsp3P w5G
   3.0     47755.534     1.236   3d7(4F)5s e5F            (4F)5s e5F
   4.0  @  47812.115     1.061   d6(a3F)4s4p(3P) x3G      3Fsp3P x3G
   2.0  @  47831.150     0.472   d6(3G)4s4p(3P) w5G       3Gsp3P w5G
   3.0  @  47834.218     0.668   d6(a3F)4s4p(3P) x3G      3Fsp3P x3G
   5.0  @  47834.547     1.203   d6(a3F)4s4p(3P) x3G      3Fsp3P x3G
   6.0  @  47855.140             d6(3G)4s4p(3P) y5H       3Gsp3P y5H   
   4.0  @  47929.994     1.264   d6(3G)4s4p(3P) v5F       3Gsp3P v5F
   4.0     47960.937     1.288   3d7(4F)5s e3F            (4F)5s e3F
   3.0  @  47966.582     1.646   d5s2(6S)4p v5P           s2p v5P
   2.0     48036.670     0.991   3d7(4F)5s e5F            (4F)5s e5F
   6.0  @  48098.290             d6(3H)4s4p(3P) 1I        3Hsp3P 1I    
