#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1883.6786    None    None   None   888.132  53975.744  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       3  3  None None           L11631  
  1883.77880   None    None   None     0.000  53084.789  3d6.4s2               a5D       3d7.(4F).5p            5F*       9  11 None None           L11631  
  1883.92239   None    None   None   704.007  53784.750  3d6.4s2               a5D       3d7.(4F).5p            5D*       5  7  None None           L11631 
  1884.68470   None    None   None   704.007  53763.280  3d6.4s2               a5D       3d7.(2D2).4p          x1F*       5  7  None None        L11631c80  
  1885.17767   None    None   None   704.007  53749.405  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  x3F*       5  5  None None           L11631  
  1885.74156   None    None   None  7728.060  60757.596  3d7.(4F).4s           a5F       3d6.(3H).4s.4p.(1P*)  t3H*       7  9  None None        L11631c80  
  1885.90686   None    None   None   888.132  53913.020  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       3  5  None None           L11631  
  1887.04667   None    None   None   704.007  53696.867  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       5  3  None None        L11631c80 
  1887.76469   None    None   None   415.933  53388.637  3d6.4s2               a5D       3d7.(4F).5p            5F*       7  9  None None           L11631  
  1888.32192   None    None   None   704.007  53661.079  3d6.4s2               a5D       3d7.(4F).5p            5F*       5  7  None None           L11631  
  1889.63675   None    None   None   888.132  53808.356  3d6.4s2               a5D       3d7.(2P).4p           x3S*       3  3  None None        L11631c80  
  1889.89823   None    None   None   415.933  53328.835  3d6.4s2               a5D       3d7.(4F).5p            3F*       7  9  None None           L11631  
  1891.74408   None    None   None   888.132  53749.405  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  x3F*       3  5  None None           L11631 
  1892.68667   None    None   None   888.132  53723.079  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       3  5  None None        L11631c80  
  1892.85380   None    None   None   978.074  53808.356  3d6.4s2               a5D       3d7.(2P).4p           x3S*       1  3  None None        L11631c80  
  1896.85678   None    None   None   978.074  53696.867  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       1  3  None None           L11631  
  1899.20869   None    None   None   704.007  53357.515  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  x3F*       5  7  None None           L11631  
  1903.39523   None    None   None   415.933  52953.629  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  x3F*       7  9  None None           L11631 
  1917.40594   None    None   None   704.007  52857.804  3d6.4s2               a5D       3d7.(2D2).4p          t3D*       5  3  None None           L11631  
  1924.22032   None    None   None     0.000  51969.101  3d6.4s2               a5D       3d7.(2P).4p           u3D*       9  7  None None        L11631c80  
  1927.48839   None    None   None   415.933  52296.920  3d6.4s2               a5D       3d7.(2P).4p           u3D*       7  5  None None        L11631c80  
  1930.69619   None    None   None   888.132  52682.920  3d6.4s2               a5D       3d7.(2D2).4p          t3D*       3  5  None None        L11631c80  
