#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
  3096.445 3.97e+05 -2.545  D+  300507.11  332802.21  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  3  5  None     T7663  L914
  3105.301 5.63e+07 -1.090  C+  300507.11  332710.11  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  1  None     T7663  L914
  3125.319 7.1e+07  -0.14   E   299189.96  331186.70  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[7/2]*  5  7  None  T7663c78  L914
  3126.118 9.72e+06 -1.371  C   299885.37  331873.93  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  3  None     T7663  L914
  3130.283 1.28e+08 -0.0259 A   265689.62  297635.61  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       3  5  None     T7663  L914
  3136.387 7.42e+07 -0.484  A   266281.62  298165.44  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       1  3  None     T7663  L914
  3138.762 1.41e+08 -0.205  B+  299885.37  331745.06  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  3  None     T6036  L914
  3146.611 4.5e+07  -0.48   C   299885.37  331665.59  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  3  5  None  T7663c78  L914
  3150.187 8.24e+07 -0.433  B+  268762.96  300507.11  2s2.2p5.3s  1P*  2s2.2p5.3p             3P       3  3  None     T7663  L914
  3160.443 6.5e+06  -1.5    E   300103.92  331745.06  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  3  None  T6036c79  L914
  3162.069 4.36e+06 -2.184  C+  268762.96  300387.82  2s2.2p5.3s  1P*  2s2.2p5.3p             3P       3  1  None     T7663  L914
  3163.441 7.1e+05  -2.3    E   299885.37  331496.51  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  5  None  T7663c78  L914
  3164.159 6.1e+06  -1.2    E   300103.92  331707.90  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  7  None  T7663c78  L914
  3164.648 1.05e+08 -0.102  B+  299189.96  330789.05  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  5  None     T7663  L914
