 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  1603.116  2.06e+08   -0.255 None  180392.7  242771.2   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[5/2]      5  7  None  T8304  L12188
  1604.469  1.63e+08   -0.502 None  180448.9  242774.8   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[5/2]      3  5  None  T8304  L12188
  1604.941  4.82e+07   -1.031 None  180392.7  242700.3   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[3/2]      5  5  None  T8304  L12188
  1607.839  1.95e+08   -0.423 None  164927.9  227123.2   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[3/2]      5  5  None  T8304  L12188
  1608.415  1.95e+07   -1.644 None  164927.9  227100.9   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[3/2]      5  3  None  T8304  L12188
  1609.956  1.80e+08   -0.201 None  180618.7  242732.2   3p5.3d             1F*     3p5.(2P*<3/2>).6f  2[9/2]      7  9  None  T8304  L12188
  1662.892  4.34e+08    0.100 None  179349.2  239485.4   3p5.3d             1D*     3p5.(2P*<1/2>).5f  2[7/2]      5  7  None  T8304  L12188
  1691.744  5.68e+07   -0.914 None  180392.7  239503.3   3p5.3d             3D*     3p5.(2P*<1/2>).5f  2[5/2]      5  5  None  T8304  L12188
  1692.219  7.66e+08    0.362 None  180392.7  239486.7   3p5.3d             3D*     3p5.(2P*<1/2>).5f  2[5/2]      5  7  None  T8304  L12188
  1693.354  4.26e+08   -0.038 None  180448.9  239503.3   3p5.3d             3D*     3p5.(2P*<1/2>).5f  2[5/2]      3  5  None  T8304  L12188
  1704.600  6.94e+08    0.435 None  170831.1  229495.9   3p5.3d             3F*     3p5.(2P*<1/2>).4f  2[7/2]      7  9  None  T8304  L12188
  1722.377  7.83e+08    0.387 None  179349.2  237408.5   3p5.3d             1D*     3p5.(2P*<3/2>).5f  2[7/2]      5  7  None  T8304  L12188
  1723.799  1.36e+09    0.737 None  179395.8  237407.2   3p5.3d             3D*     3p5.(2P*<3/2>).5f  2[7/2]      7  9  None  T8304  L12188
  1723.915  1.66e+08   -0.432 None  179349.2  237356.7   3p5.3d             1D*     3p5.(2P*<3/2>).5f  2[5/2]      5  5  None  T8304  L12188
  1724.070  7.17e+07   -0.797 None  171522.6  229524.9   3p5.3d             3F*     3p5.(2P*<1/2>).4f  2[5/2]      5  5  None  T8304  L12188
  1724.441  8.00e+06   -1.603 None  179349.2  237339.0   3p5.3d             1D*     3p5.(2P*<3/2>).5f  2[5/2]      5  7  None  T8304  L12188
  1724.602  4.01e+06   -1.903 None  171522.6  229507.0   3p5.3d             3F*     3p5.(2P*<1/2>).4f  2[5/2]      5  7  None  T8304  L12188
  1727.727  4.29e+08    0.238 None  179395.8  237275.3   3p5.3d             3D*     3p5.(2P*<3/2>).5f  2[9/2]      7  9  None  T8304  L12188
  1740.999  3.23e+08    0.121 None  170049.2  227487.5   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[7/2]      9  9  None  T8304  L12188
  1748.820  7.04e+07   -0.537 None  170049.2  227230.6   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[9/2]      9  9  None  T8304  L12188
  1748.961  2.92e+09    1.168 None  170049.2  227226.0   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[9/2]      9  11 None  T8304  L12188
  1753.900  7.19e+05   -2.634 None  180392.7  237408.5   3p5.3d             3D*     3p5.(2P*<3/2>).5f  2[7/2]      5  7  None  T8304  L12188
  1755.495  1.46e+07   -1.472 None  180392.7  237356.7   3p5.3d             3D*     3p5.(2P*<3/2>).5f  2[5/2]      5  5  None  T8304  L12188
  1757.228  3.56e+08   -0.084 None  180448.9  237356.7   3p5.3d             3D*     3p5.(2P*<3/2>).5f  2[5/2]      3  5  None  T8304  L12188
  1765.019  5.57e+08    0.369 None  180618.7  237275.3   3p5.3d             1F*     3p5.(2P*<3/2>).5f  2[9/2]      7  9  None  T8304  L12188
  1765.026  2.88e+08    0.083 None  170831.1  227487.5   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[7/2]      7  9  None  T8304  L12188
  1765.110  2.37e+08   -0.111 None  170831.1  227484.8   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[7/2]      7  7  None  T8304  L12188
  1768.781  1.62e+07   -1.420 None  170831.1  227367.2   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[5/2]      7  5  None  T8304  L12188
  1769.511  4.58e+07   -0.822 None  170831.1  227343.9   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[5/2]      7  7  None  T8304  L12188
  1773.065  1.26e+09    0.728 None  170831.1  227230.6   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[9/2]      7  9  None  T8304  L12188
  1786.920  6.15e+08    0.314 None  171522.6  227484.8   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[7/2]      5  7  None  T8304  L12188
  1790.683  8.31e+07   -0.700 None  171522.6  227367.2   3p5.3d             3F*     3p5.(2P*<3/2>).4f  2[5/2]      5  5  None  T8304  L12188
  1992.997  1.23e+07   -1.436 None  179349.2  229524.9   3p5.3d             1D*     3p5.(2P*<1/2>).4f  2[5/2]      5  5  None  T8304  L12188
  1993.708  4.16e+06   -1.761 None  179349.2  229507.0   3p5.3d             1D*     3p5.(2P*<1/2>).4f  2[5/2]      5  7  None  T8304  L12188
  1994.284  7.14e+08    0.474 None  179349.2  229492.5   3p5.3d             1D*     3p5.(2P*<1/2>).4f  2[7/2]      5  7  None  T8304  L12188
  1995.562  4.85e+06   -1.693 None  179395.8  229507.0   3p5.3d             3D*     3p5.(2P*<1/2>).4f  2[5/2]      7  7  None  T8304  L12188
  2035.325  8.81e+07   -0.563 None  180392.7  229524.9   3p5.3d             3D*     3p5.(2P*<1/2>).4f  2[5/2]      5  5  None  T8304  L12188
  2036.067  1.20e+09    0.718 None  180392.7  229507.0   3p5.3d             3D*     3p5.(2P*<1/2>).4f  2[5/2]      5  7  None  T8304  L12188
  2036.668  3.89e+05   -2.771 None  180392.7  229492.5   3p5.3d             3D*     3p5.(2P*<1/2>).4f  2[7/2]      5  7  None  T8304  L12188
  2037.656  6.74e+08    0.322 None  180448.9  229524.9   3p5.3d             3D*     3p5.(2P*<1/2>).4f  2[5/2]      3  5  None  T8304  L12188
  2045.479  7.49e+07   -0.483 None  180618.7  229507.0   3p5.3d             1F*     3p5.(2P*<1/2>).4f  2[5/2]      7  7  None  T8304  L12188
