#E[cm⁻¹]      g  cfg_term     
 50185.743    9  3d6.(5D).4s.(6D).5p_n7P*   
 50628.372    7  3d6.(5D).4s.(6D).5p_n7P*
 50901.172    5  3d6.(5D).4s.(6D).5p_n7P*
 50342.129   13  3d6.(5D).4s.(6D).4d_e7F    
 50833.438   11  3d6.(5D).4s.(6D).4d_e7F
 51148.848    7  3d6.(5D).4s.(6D).4d_e7F
 51192.273    9  3d6.(5D).4s.(6D).4d_e7F
 51207.998    3  3d6.(5D).4s.(6D).4d_e7F
 51331.052    5  3d6.(5D).4s.(6D).4d_e7F
 50377.908   11  3d6.(5D).4s.(6D).4d_f7D    
 50807.997    9  3d6.(5D).4s.(6D).4d_f7D
 50861.816    7  3d6.(5D).4s.(6D).4d_f7D
 50998.645    5  3d6.(5D).4s.(6D).4d_f7D
 51048.107    3  3d6.(5D).4s.(6D).4d_f7D
 50423.137    9  3d6.(5D).4s.(6D).4d_f5D    
 50534.397    7  3d6.(5D).4s.(6D).4d_f5D
 50698.620    5  3d6.(5D).4s.(6D).4d_f5D
 50880.102    3  3d6.(5D).4s.(6D).4d_f5D
 50981.012    1  3d6.(5D).4s.(6D).4d_f5D
 50475.288    9  3d6.(5D).4s.(6D).4d_e7P    
 50611.261    7  3d6.(5D).4s.(6D).4d_e7P
 50861.327    5  3d6.(5D).4s.(6D).4d_e7P
 50522.944   13  3d6.(5D).4s.(6D).4d_e5G    
 50703.870   11  3d6.(5D).4s.(6D).4d_e5G
 50979.579    9  3d6.(5D).4s.(6D).4d_e5G
 51219.015    7  3d6.(5D).4s.(6D).4d_e5G
 51370.145    5  3d6.(5D).4s.(6D).4d_e5G
 50586.878    7  3d7.(2G).4p_z1F*   
 50613.983    9  3d6.(3F2).4s.4p.(3P*)_x1G*   
 50651.632   15  3d6.(5D).4s.(6D).4d_e7G    
 50967.831   13  3d6.(5D).4s.(6D).4d_e7G
 51228.553   11  3d6.(5D).4s.(6D).4d_e7G
 51334.911    9  3d6.(5D).4s.(6D).4d_e7G
 51460.518    7  3d6.(5D).4s.(6D).4d_e7G
 51539.720    5  3d6.(5D).4s.(6D).4d_e7G
 51566.802    3  3d6.(5D).4s.(6D).4d_e7G
 51016.660   11  3d6.(5D).4s.(6D).5p_u5F*   
 51381.457    9  3d6.(5D).4s.(6D).5p_u5F*
 51619.076    7  3d6.(5D).4s.(6D).5p_u5F*
 51827.413    5  3d6.(5D).4s.(6D).5p_u5F*
 51945.817    3  3d6.(5D).4s.(6D).5p_u5F*
 51023.162   13  3d6.(3G).4s.4p.(3P*)_x3H*   
 51068.718   11  3d6.(3G).4s.4p.(3P*)_x3H*
 51409.124    9  3d6.(3G).4s.4p.(3P*)_x3H*
 51076.628    9  3d6.(5D).4s.(6D).5p_t5D*   
 51361.391    7  3d6.(5D).4s.(6D).5p_t5D*
 51630.001    5  3d6.(5D).4s.(6D).5p_t5D*
 51827.854    3  3d6.(5D).4s.(6D).5p_t5D*
 51941.540    1  3d6.(5D).4s.(6D).5p_t5D*
 51103.191   11  3d6.(5D).4s.(6D).4d_f5F    
 51461.670    9  3d6.(5D).4s.(6D).4d_f5F
 51604.103    7  3d6.(5D).4s.(6D).4d_f5F
 51705.014    5  3d6.(5D).4s.(6D).4d_f5F
 51754.497    3  3d6.(5D).4s.(6D).4d_f5F
 51148.910    5  3d6.(5D).4s.(6D).4d_e5S    
 51201.289    5  3d7.(2D2).4p_v3F*   
 51304.604    9  3d7.(2D2).4p_v3F*
 51365.311    7  3d7.(2D2).4p_v3F*
 51294.220    7  3d6.(5D).4s.(4D).5s_e3D    
 51739.920    5  3d6.(5D).4s.(4D).5s_e3D
 52039.892    3  3d6.(5D).4s.(4D).5s_e3D
 51350.492    9  3d6.(5D).4s.(4D).5s_g5D    
 51770.557    7  3d6.(5D).4s.(4D).5s_g5D
 52049.823    5  3d6.(5D).4s.(4D).5s_g5D
 52214.345    3  3d6.(5D).4s.(4D).5s_g5D
 52257.346    1  3d6.(5D).4s.(4D).5s_g5D
 51373.910   11  3d7.(2H).4p_u3G*   
 51668.186    9  3d7.(2H).4p_u3G*
 51825.773    7  3d7.(2H).4p_u3G*
 51570.097    7  3d6.(5D).4s.(6D).4d_e7S    
 51630.178   11  3d6.(3H).4s.4p.(3P*)_1H*     
 51692.010    7  3d6.(5D).4s.(6D).5p_u5P*   
 51944.784    5  3d6.(5D).4s.(6D).5p_u5P*
 52110.601    3  3d6.(5D).4s.(6D).5p_u5P*
 51708.307    5  3d7.(2P).4p_y1D*   
 51762.076    5  3d6.(3H).4s.4p.(3P*)_x1D*   
 51837.238    7  3d6.(5D).4s.(6D).4d_e5P    
 52019.669    3  3d6.(5D).4s.(6D).4d_e5P
 52067.469    5  3d6.(5D).4s.(6D).4d_e5P
 51969.101    7  3d7.(2P).4p_u3D*   
 52296.920    5  3d7.(2P).4p_u3D*
 52512.457    3  3d7.(2P).4p_u3D*
 52180.820    3  3d7.(2P).4p_1P*     
 52213.230    7  3d7.(2D2).4p_t3D*   
 52682.920    5  3d7.(2D2).4p_t3D*
 52857.804    3  3d7.(2D2).4p_t3D*
 52431.447   13  3d7.(2H).4p_w3H*   
 52613.090   11  3d7.(2H).4p_w3H*
 52768.743    9  3d7.(2H).4p_w3H*
 52513.560   13  3d7.(2H).4p_y3I*   
 52654.992   15  3d7.(2H).4p_y3I*
 52898.998   11  3d7.(2H).4p_y3I*
 52807.001   11  3d7.(4F).5p_3G*     
 54017.581    9  3d7.(4F).5p_3G*
 54357.405    7  3d7.(4F).5p_3G*
 52916.295    5  3d7.(2D2).4p_v3P*   
 53229.941    3  3d7.(2D2).4p_v3P*
 52953.629    9  3d6.(3G).4s.4p.(3P*)_x3F*   
 53357.515    7  3d6.(3G).4s.4p.(3P*)_x3F*
 53749.405    5  3d6.(3G).4s.4p.(3P*)_x3F*
 53061.318   11  3d7.(4F).4d_g5F    
 53393.673    9  3d7.(4F).4d_g5F
 53830.975    7  3d7.(4F).4d_g5F
 54257.502    5  3d7.(4F).4d_g5F
 54386.186    3  3d7.(4F).4d_g5F
 54134.655    7  3d7.(4F).5p_5G*     
 54257.679    5  3d7.(4F).5p_5G*
 53069.357   13  3d7.(4F).5p_5G*
 53586.510   11  3d7.(4F).5p_5G*
 53852.114    9  3d7.(4F).5p_5G*
 53388.637    9  3d7.(4F).5p_5F*     
 53084.789   11  3d7.(4F).5p_5F*
 53661.079    7  3d7.(4F).5p_5F*
 54042.527    5  3d7.(4F).5p_5F*
 54224.420    3  3d7.(4F).5p_5F*
 53093.529   13  3d7.(2H).4p_1I*     
 53155.145    9  3d7.(4F).4d_h5D    
 53545.833    7  3d7.(4F).4d_h5D
 53966.662    5  3d7.(4F).4d_h5D
 54132.551    3  3d7.(4F).4d_h5D
 53160.593    7  3d7.(4F).4d_f5P    
 53568.751    5  3d7.(4F).4d_f5P
 53925.200    3  3d7.(4F).4d_f5P
 53169.146   13  3d7.(4F).4d_f5G    
 53281.689   11  3d7.(4F).4d_f5G
 53768.979    9  3d7.(4F).4d_f5G
 54161.139    7  3d7.(4F).4d_f5G
 54375.677    5  3d7.(4F).4d_f5G
 53275.183   15  3d7.(4F).4d_e5H    
 53352.989   13  3d7.(4F).4d_e5H
 53874.257   11  3d7.(4F).4d_e5H
 54237.213    9  3d7.(4F).4d_e5H
 54490.999    7  3d7.(4F).4d_e5H
 53313.438   11  3d6.(3G).4s.4p.(3P*)_y1H*   
 54706.387    5  3d7.(4F).5p_3F*     
 53328.835    9  3d7.(4F).5p_3F*
 54289.034    7  3d7.(4F).5p_3F*
 53784.750    7  3d7.(4F).5p_5D*     
 54530.653    5  3d7.(4F).5p_5D*
 54603.140    3  3d7.(4F).5p_5D*
 53610.412    9  3d7.(4F).5p_5D*
 53696.867    3  3d6.(3D).4s.4p.(3P*)_5F*     
 53881.806    9  3d6.(3D).4s.4p.(3P*)_5F*
 53723.079    5  3d6.(3D).4s.4p.(3P*)_5F*
 54013.752   11  3d6.(3D).4s.4p.(3P*)_5F*
 53733.594    7  3d6.(3D).4s.4p.(3P*)_5F*
 53739.438   11  3d7.(4F).4d_e3G    
 54066.518    9  3d7.(4F).4d_e3G
 54379.384    7  3d7.(4F).4d_e3G
 53747.500    7  3d7.(4F).4d_f3D    
 54066.773    5  3d7.(4F).4d_f3D
 54449.347    3  3d7.(4F).4d_f3D
 53763.280    7  3d7.(2D2).4p_x1F*   
 53800.859   11  3d6.(5D).4s.(6D).6s_g7D    
 54124.744    9  3d6.(5D).4s.(6D).6s_g7D
 54404.779    7  3d6.(5D).4s.(6D).6s_g7D
 54611.710    5  3d6.(5D).4s.(6D).6s_g7D
 54747.598    3  3d6.(5D).4s.(6D).6s_g7D
 53808.356    3  3d7.(2P).4p_x3S*   
 54807.250    3  3d7.(4F).5p_3D*     
 53837.851    7  3d7.(4F).5p_3D*
 54342.779    5  3d7.(4F).5p_3D*
 53840.620   13  3d7.(4F).4d_e3H    
 54266.716   11  3d7.(4F).4d_e3H
 54555.418    9  3d7.(4F).4d_e3H
 53913.020    5  3d6.(3D).4s.4p.(3P*)_5D*     
 53975.744    3  3d6.(3D).4s.4p.(3P*)_5D*
 53891.526    7  3d6.(3D).4s.4p.(3P*)_5D*
 54301.340    9  3d6.(3D).4s.4p.(3P*)_5D*
 53983.293   11  3d6.(3G).4s.4p.(3P*)_t3G*   
 54237.415    9  3d6.(3G).4s.4p.(3P*)_t3G*
 54600.350    7  3d6.(3G).4s.4p.(3P*)_t3G*
 54004.718    7  3d6.(3D).4s.4p.(3P*)_t5P*   
 54112.230    5  3d6.(3D).4s.4p.(3P*)_t5P*
 54271.062    3  3d6.(3D).4s.4p.(3P*)_t5P*
 54479.902    9  3d6.4s.(6D).6s_5D      
 54864.831    7  3d6.4s.(6D).6s_5D
 55134.168    5  3d6.4s.(6D).6s_5D
 55305.627    3  3d6.4s.(6D).6s_5D
 55390.520    1  3d6.4s.(6D).6s_5D
 54683.322    9  3d7.(4F).4d_f3F    
 55124.938    7  3d7.(4F).4d_f3F
 55378.811    5  3d7.(4F).4d_f3F
 54810.856    9  3d6.(3G).4s.4p.(3P*)_w1G*   
 54879.683    5  3d7.(4F).4d_e3P    
 55376.090    3  3d7.(4F).4d_e3P
 55726.52     1  3d7.(4F).4d_e3P
 55429.819   11  3d6.(1G2).4s.4p.(3P*)_s3G*   
 55790.696    7  3d6.(1G2).4s.4p.(3P*)_s3G*
 55905.536    9  3d6.(1G2).4s.4p.(3P*)_s3G*
 55446.008    9  3d6.(1G2).4s.4p.(3P*)_v3H*   
 55489.742   13  3d6.(1G2).4s.4p.(3P*)_v3H*
 55525.562   11  3d6.(1G2).4s.4p.(3P*)_v3H*
 55754.233    5  3d7.(2D2).4p_w1D*   
 55907.178   11  3d7.(2H).4p_1H*     
 56097.836    7  3d6.(3G).4s.4p.(3P*)_1F*     
 56113.887   11  3d7.(4F).6s_5F      
 56516.218    9  3d7.(4F).6s_5F
 57510.666    7  3d7.(4F).6s_5F
 57528.512    5  3d7.(4F).6s_5F
 57754.099    3  3d7.(4F).6s_5F
 56120.331   11  3d6.4s.(6D).6p_7D*     
 56516.744    9  3d6.4s.(6D).6p_7D*
 56555.066    7  3d6.4s.(6D).6p_7D*
 56933.382    5  3d6.4s.(6D).6p_7D*
 57164.14     3  3d6.4s.(6D).6p_7D*
 56207.552    9  3d6.4s.(6D).5d_5D      
 56337.126    7  3d6.4s.(6D).5d_5D
 56479.463    5  3d6.4s.(6D).5d_5D
 56735.158    3  3d6.4s.(6D).5d_5D
 56260.982   13  3d6.4s.(6D).6p_7F*     
 56502.957   11  3d6.4s.(6D).6p_7F*
 56756.704    9  3d6.4s.(6D).6p_7F*
