#E[cm⁻¹]     g  configuration       term   p  ref
265893.62    4  2s2.2p2.(3P).5f_D   2[1]*  o  NIST                   
265925.19   12  2s2.2p2.(3P).5f_G   2[5]*  o  NIST                   
265930.31   10  2s2.2p2.(3P).5f_G   2[5]*  o  NIST                   
265957.37    4  2s2.2p2.(3P).5f_F   2[2]*  o  NIST                   
265963.54    6  2s2.2p2.(3P).5f_F   2[2]*  o  NIST                   
265980.11    6  2s2.2p2.(3P<2>).5g  2[2]   e  NIST                   
265980.11    4  2s2.2p2.(3P<2>).5g  2[2]   e  NIST                   
265992.31   12  2s2.2p2.(3P<2>).5g  2[6]   e  NIST                   
265992.31    8  2s2.2p2.(3P).5f_F   2[3]*  o  NIST                   
265992.34   14  2s2.2p2.(3P<2>).5g  2[6]   e  NIST                   
265992.37    6  2s2.2p2.(3P).5f_F   2[3]*  o  NIST                   
265999.75   10  2s2.2p2.(3P).5f_F   2[4]*  o  NIST                   
266004.90    8  2s2.2p2.(3P).5f_F   2[4]*  o  NIST                   
266007.60    6  2s2.2p2.(3P<2>).5g  2[3]   e  NIST                   
266007.72    8  2s2.2p2.(3P<2>).5g  2[3]   e  NIST                   
266022.90    8  2s2.2p2.(3P<2>).5g  2[4]   e  NIST                   
266022.90   10  2s2.2p2.(3P<2>).5g  2[4]   e  NIST                   
266024.16   10  2s2.2p2.(3P<2>).5g  2[5]   e  NIST                   
266024.16   12  2s2.2p2.(3P<2>).5g  2[5]   e  NIST                   
266579.73    6  2s2.2p2.(1D).4p     2F*    o  NIST                   
266588.33    8  2s2.2p2.(1D).4p     2F*    o  NIST                   
266624.32    4  2s2.2p2.(1D).4p     2D*    o  NIST                   
266640.58    6  2s2.2p2.(1D).4p     2D*    o  NIST                   
266698.0     2  2s2.2p2.(3P).6s     4P     e  NIST                   
266802.0     4  2s2.2p2.(3P).6s     4P     e  NIST                   
266971.23    6  2s2.2p2.(3P).6s     4P     e  NIST                   
267101.1     2  2s2.2p2.(3P).6s     2P     e  NIST                   
267298.23    4  2s2.2p2.(3P).6s     2P     e  NIST                   
267460.28    2  2s2.2p2.(1D).4p     2P*    o  NIST                   
267490.79    4  2s2.2p2.(1D).4p     2P*    o  NIST                   
267768.20    4  2s.2p3.(5S*).3p     6P     e  NIST                   
267775.48    6  2s.2p3.(5S*).3p     6P     e  NIST                   
267788.09    8  2s.2p3.(5S*).3p     6P     e  NIST                   
268369.8     2  2s2.2p2.(3P).6p     2S*    o  NIST                   
268465.6     4  2s2.2p2.(3P).6p     4D*    o  NIST                   
268547.50    6  2s2.2p2.(3P).6p     4D*    o  NIST                   
268692.1     8  2s2.2p2.(3P).6p     4D*    o  NIST                   
268782.5     6  2s2.2p2.(3P).6p     4P*    o  NIST                   
271068.35    8  2s2.2p2.(3P<0>).6g  2[4]   e  NIST                   
271068.39   10  2s2.2p2.(3P<0>).6g  2[4]   e  NIST                   
271171.85    8  2s2.2p2.(3P<1>).6g  2[4]   e  NIST                   
271171.85   10  2s2.2p2.(3P<1>).6g  2[4]   e  NIST                   
271184.87   10  2s2.2p2.(3P<1>).6g  2[5]   e  NIST                   
271185.08   12  2s2.2p2.(3P<1>).6g  2[5]   e  NIST                   
271187.92    6  2s2.2p2.(3P<1>).6g  2[3]   e  NIST                   
271188.04    8  2s2.2p2.(3P<1>).6g  2[3]   e  NIST                   
271360.61    4  2s2.2p2.(3P<2>).6g  2[2]   e  NIST                   
271360.61    6  2s2.2p2.(3P<2>).6g  2[2]   e  NIST                   
271367.70   12  2s2.2p2.(3P<2>).6g  2[6]   e  NIST                   
271367.79   14  2s2.2p2.(3P<2>).6g  2[6]   e  NIST                   
271375.48    8  2s2.2p2.(3P<2>).6g  2[3]   e  NIST                   
271375.61    6  2s2.2p2.(3P<2>).6g  2[3]   e  NIST                   
271384.65    8  2s2.2p2.(3P<2>).6g  2[4]   e  NIST                   
271384.80   10  2s2.2p2.(3P<2>).6g  2[4]   e  NIST                   
271385.06   10  2s2.2p2.(3P<2>).6g  2[5]   e  NIST                   
271385.39   12  2s2.2p2.(3P<2>).6g  2[5]   e  NIST                   
272728.4     4  2s2.2p2.(3P).7p     4D*    o  NIST                   
272787.7     6  2s2.2p2.(3P).7p     4D*    o  NIST                   
272968.4     8  2s2.2p2.(3P).7p     4D*    o  NIST                   
273018.7     6  2s2.2p2.(3P).7p     4P*    o  NIST                   
274740.7     6  2s2.2p2.(1D).4d     2F     e  NIST                   
274781.5     8  2s2.2p2.(1D).4d     2F     e  NIST                   
274916.0     4  2s2.2p2.(1D).4d     2D     e  NIST                   
274928.0     6  2s2.2p2.(1D).4d     2D     e  NIST                   
275611.1     4  2s2.2p2.(1D).4d     2P     e  NIST                   
275842.14    8  2s2.2p2.(1D).4f_G   2[4]*  o  NIST                   
275842.14   10  2s2.2p2.(1D).4f_G   2[4]*  o  NIST                   
275881.65    6  2s2.2p2.(1D).4f_F   2[3]*  o  NIST                   
275881.65    8  2s2.2p2.(1D).4f_F   2[3]*  o  NIST                   
275983.95    4  2s2.2p2.(1S).3d     2D     e  NIST                   
275996.5     2  2s2.2p2.(1D).4d     2S     e  NIST                   
276066.81    4  2s2.2p2.(1D).4f_D   2[2]*  o  NIST                   
276066.88    6  2s2.2p2.(1D).4f_D   2[2]*  o  NIST                   
276075.32    6  2s2.2p2.(1S).3d     2D     e  NIST                   
276109.46   10  2s2.2p2.(1D).4f_H   2[5]*  o  NIST                   
276109.54   12  2s2.2p2.(1D).4f_H   2[5]*  o  NIST                   
276263.81    2  2s2.2p2.(1D).4f_P   2[1]*  o  NIST                   
276263.81    4  2s2.2p2.(1D).4f_P   2[1]*  o  NIST                   
278144.33    4  2s2.2p2.(1D).5s     2D     e  NIST                   
278144.62    6  2s2.2p2.(1D).5s     2D     e  NIST                   
282219.90    2  2s2.2p2.(1S).4s     2S     e  NIST                   
283270.95    1  2s2.2p2             3P     e  NIST                   
283384.1     3  2s2.2p2             3P     e  NIST                   
283577.1     5  2s2.2p2             3P     e  NIST                   
285838.51   10  2s2.2p2.(1D).5f_G   2[4]*  o  NIST                   
285861.74    8  2s2.2p2.(1D).5f_F   2[3]*  o  NIST                   
285939.05   12  2s2.2p2.(1D<2>).5g  2[5]   e  NIST                   
285939.05   10  2s2.2p2.(1D<2>).5g  2[5]   e  NIST                   
285941.34    8  2s2.2p2.(1D<2>).5g  2[4]   e  NIST                   
285941.34   10  2s2.2p2.(1D<2>).5g  2[4]   e  NIST                   
285959.69    6  2s2.2p2.(1D).5f_D   2[2]*  o  NIST                   
285978.5    12  2s2.2p2.(1D).5f_H   2[5]*  o  NIST                   
285978.5    10  2s2.2p2.(1D).5f_H   2[5]*  o  NIST                   
286000.31   14  2s2.2p2.(1D<2>).5g  2[6]   e  NIST                   
286000.31   12  2s2.2p2.(1D<2>).5g  2[6]   e  NIST                   
286055.28    4  2s2.2p2.(1D).5f_P   2[1]*  o  NIST                   
287045.6     4  2s2.2p2.(1D).6s     2D     e  NIST                   
287047.1     6  2s2.2p2.(1D).6s     2D     e  NIST                   
289990.7     2  2s2.2p2.(1S).4p     2P*    o  NIST                   
290000.3     4  2s2.2p2.(1S).4p     2P*    o  NIST                   
291323.00   10  2s2.2p2.(1D<2>).6g  2[5]   e  NIST                   
291323.00   12  2s2.2p2.(1D<2>).6g  2[5]   e  NIST                   
291324.04    8  2s2.2p2.(1D<2>).6g  2[4]   e  NIST                   
291324.04   10  2s2.2p2.(1D<2>).6g  2[4]   e  NIST                   
291358.34   12  2s2.2p2.(1D<2>).6g  2[6]   e  NIST                   
291358.34   14  2s2.2p2.(1D<2>).6g  2[6]   e  NIST                   
291900.48   10  2s.2p3.(5S*).3d     6D*    o  NIST                   
291901.47    8  2s.2p3.(5S*).3d     6D*    o  NIST                   
291902.73    6  2s.2p3.(5S*).3d     6D*    o  NIST                   
291903.91    4  2s.2p3.(5S*).3d     6D*    o  NIST                   
291904.71    2  2s.2p3.(5S*).3d     6D*    o  NIST                   
298855.04    6  2s.2p3.(5S*).4s     6S*    o  NIST                   
303544.2     5  2s.2p2              1D     e  NIST                   
326456.6     1  2s.2p2              1S     e  NIST                   
