#E[cm⁻¹]      g  configuration
 92647.591    4  3d6.(3F1).4p_4D*
 92453.365    2  3d6.(3F1).4p_4D*
 93484.602   10  3d6.(3F1).4p_u4F* 
 93487.653    8  3d6.(3F1).4p_u4F*
 93395.407    6  3d6.(3F1).4p_u4F*
 93328.553    4  3d6.(3F1).4p_u4F*
 94057.727   10  3d5.(4D).4s.4p.(3P*)_6D*   
 93987.454    8  3d5.(4D).4s.4p.(3P*)_6D*
 93830.961    6  3d5.(4D).4s.4p.(3P*)_6D*
 93840.405    4  3d5.(4D).4s.4p.(3P*)_6D*
 94031.370    2  3d5.(4D).4s.4p.(3P*)_6D*
 94189.536   12  3d5.(4G).4s.4p.(3P*)_w4G* 
 94148.39    10  3d5.(4G).4s.4p.(3P*)_w4G*
 94073.296    8  3d5.(4G).4s.4p.(3P*)_w4G*
 93988.181    6  3d5.(4G).4s.4p.(3P*)_w4G*
 94211.383    6  3d5.(4P).4s.4p.(3P*)_4P*   
 94739.136    4  3d5.(4P).4s.4p.(3P*)_4P*
 94880.585    2  3d5.(4P).4s.4p.(3P*)_4P*
 94763.218    8  3d5.(4D).4s.4p.(3P*)_6P*   
 94685.083    6  3d5.(4D).4s.4p.(3P*)_6P*
 94700.415    6  3d6.(3F1).4p_2D*   
 95079.342    8  3d6.(3F1).4p_2F*   
 95046.177    6  3d6.(3F1).4p_2F*
 96217.720    8  3d5.(4P).4s.4p.(3P*)_4D*   
 95995.817    6  3d5.(4P).4s.4p.(3P*)_4D*
 95858.270    4  3d5.(4P).4s.4p.(3P*)_4D*
 95767.572    2  3d5.(4P).4s.4p.(3P*)_4D*
 96062.057   12  3d5.(4G).4s.4p.(3P*)_2H*   
 96239.416   10  3d5.(4G).4s.4p.(3P*)_2H*
 96356.551    8  3d5.(4G).4s.4p.(3P*)_t2F* 
 96279.234    6  3d5.(4G).4s.4p.(3P*)_t2F*
 97326.503    4  3d5.(4P).4s.4p.(3P*)_2P*   
 97507.414    6  3d6.(3P2).5s_4P    
 98114.577    4  3d6.(3P2).5s_4P
 99057.089    2  3d6.(3P2).5s_4P
 98278.852   12  3d6.(1G1).4p_2H*   
 97851.332   10  3d6.(1G1).4p_2H*
 98130.136   14  3d6.(3H).5s_e4H  
 98294.909   12  3d6.(3H).5s_e4H
 98445.410   10  3d6.(3H).5s_e4H
 98568.907    8  3d6.(3H).5s_e4H
 98596.488   10  3d5.(4D).4s.4p.(3P*)_4F*   
 98536.011    8  3d5.(4D).4s.4p.(3P*)_4F*
 98354.656    6  3d5.(4D).4s.4p.(3P*)_4F*
 98196.137    4  3d5.(4D).4s.4p.(3P*)_4F*
 98338.357    4  3d5.(4P).4s.4p.(3P*)_4S*   
 98391.320    8  3d5.(4D).4s.4p.(3P*)_4D*   
 98505.022    6  3d5.(4D).4s.4p.(3P*)_4D*
 98770.295    4  3d5.(4D).4s.4p.(3P*)_4D*
 99007.677    2  3d5.(4D).4s.4p.(3P*)_4D*
 98898.591    8  3d6.(1G1).4p_2F*   
