#E[cm⁻¹]      g  configuration
  62675.56    3  3p6.3d.20f_3D*    
  62683.89    3  3p6.3d.20f_3P*    
  62686.88    3  3p6.3d.22p_3D*    
  62690.32    3  3p6.3d.20p_1P*    
  62704.43    3  3p6.3d.19f_1P*    
  62704.43    3  3p6.3d.21f_3D*    
  62707.25    3  3p6.3d.21f_3P*    
  62711.37    3  3p6.3d.21p_3P*    
  62713.24    3  3p6.3d.23p_3D*    
  62720.41    3  3p6.3d.22f_3D*    
  62721.80    3  3p6.3d.21p_1P*    
  62729.19    3  3p6.3d.22f_3P*    
  62734.25    3  3p6.3d.24p_3D*    
  62736.10    3  3p6.3d.20f_1P*    
  62736.10    3  3p6.3d.22p_3P*    
  62743.11    3  3p6.3d.23f_3D*    
  62748.53    3  3p6.3d.23f_3P*    
  62750.58    3  3p6.3d.22p_1P*    
  62753.60    3  3p6.3d.25p_3D*    
  62762.86    3  3p6.3d.23p_3P*    
  62762.86    3  3p6.3d.21f_1P*    
  62764.10    3  3p6.3d.24f_3P*    
  62768.10    3  3p6.3d.24f_3D*    
  62769.47    3  3p6.3d.26p_3D*    
  62774.75    3  3p6.3d.23p_1P*    
  62780.30    3  3p6.3d.25f_3P*    
  62783.86    3  3p6.3d.27p_3D*    
  62785.02    3  3p6.3d.22f_1P*    
  62787.31    3  3p6.3d.24p_3P*    
  62790.08    3  3p6.3d.26f_3D*    
  62794.19    3  3p6.3d.26f_3P*    
  62795.55    3  3p6.3d.24p_1P*    
  62797.46    3  3p6.3d.28p_3D*    
  62804.38    3  3p6.3d.23f_1P*    
  62806.02    3  3p6.3d.27f_3P*    
  62807.90    3  3p6.3d.25p_3P*    
  62808.51    3  3p6.3d.29p_3D*    
  62812.00    3  3p6.3d.28f_3D*    
  62814.13    3  3p6.3d.25p_1P*    
  62816.51    3  3p6.3d.28f_3P*    
  62818.76    3  3p6.3d.30p_3D*    
  62820.31    3  3p6.3d.24f_1P*    
  62824.17    3  3p6.3d.29f_3P*    
  62824.17    3  3p6.3d.26p_3P*    
