# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
55366.9  21 3d6.4s.(6D).6p   w7P* 
55625.8  21 3d6.4s.(6D).4f   v7P* 
58012.6  21 3d6.4s.(6D).7p   u7P* 
58120.2  21 3d6.4s.(6D).5f   t7P* 
59420.6  21 3d6.4s.(6D).8p   s7P* 
59476.5  21 3d6.4s.(6D).6f   r7P* 
60261.2  21 3d6.4s.(6D).9p   q7P* 
60293.0  21 3d6.4s.(6D).7f   p7P* 
60803.3  21 3d6.4s.(6D).10p  o7P* 
60823.0  21 3d6.4s.(6D).8f   n7P* 
61172.0  21 3d6.4s.(6D).11p  m7P* 
61186.2  21 3d6.4s.(6D).9f   l7P* 
61436.4  21 3d6.4s.(6D).12p  k7P* 
61446.3  21 3d6.4s.(6D).10f  j7P* 
17214.5  35 3d6.4s.(6D).4p   z7D* 
48711.3  35 3d6.4s.(6D).5p   y7D* 
55146.3  35 3d6.4s.(6D).6p   x7D* 
55608.3  35 3d6.4s.(6D).4f   w7D* 
57905.1  35 3d6.4s.(6D).7p   v7D* 
58109.2  35 3d6.4s.(6D).5f   u7D* 
59360.2  35 3d6.4s.(6D).8p   t7D* 
59469.9  35 3d6.4s.(6D).6f   s7D* 
60223.8  35 3d6.4s.(6D).9p   r7D* 
60289.7  35 3d6.4s.(6D).7f   q7D* 
60778.0  35 3d6.4s.(6D).10p  p7D* 
60820.8  35 3d6.4s.(6D).8f   o7D* 
61155.5  35 3d6.4s.(6D).11p  n7D* 
61184.0  35 3d6.4s.(6D).9f   m7D* 
61423.3  35 3d6.4s.(6D).12p  l7D* 
61444.1  35 3d6.4s.(6D).10f  k7D* 
20281.7  49 3d6.4s.(6D).4p   z7F* 
49076.7  49 3d6.4s.(6D).5p   y7F* 
55280.2  49 3d6.4s.(6D).6p   x7F* 
55592.9  49 3d6.4s.(6D).4f   w7F* 
57970.9  49 3d6.4s.(6D).7p   v7F* 
58101.5  49 3d6.4s.(6D).5f   u7F* 
59397.5  49 3d6.4s.(6D).8p   t7F* 
59464.5  49 3d6.4s.(6D).6f   s7F* 
59500.7  49 3d6.4s.(6D).6h   r7F* 
60246.9  49 3d6.4s.(6D).9p   q7F* 
60286.4  49 3d6.4s.(6D).7f   p7F* 
60309.4  49 3d6.4s.(6D).7h   o7F* 
60793.4  49 3d6.4s.(6D).10p  n7F* 
60818.6  49 3d6.4s.(6D).8f   m7F* 
60834.0  49 3d6.4s.(6D).8h   l7F* 
61166.5  49 3d6.4s.(6D).11p  k7F* 
61182.9  49 3d6.4s.(6D).9f   j7F* 
61193.9  49 3d6.4s.(6D).9h   i7F* 
61431.0  49 3d6.4s.(6D).12p  h7F* 
61443.0  49 3d6.4s.(6D).10f  g7F* 
61451.8  49 3d6.4s.(6D).10h  f7F* 
55588.5  63 3d6.4s.(6D).4f   z7G* 
58098.2  63 3d6.4s.(6D).5f   y7G* 
59463.4  63 3d6.4s.(6D).6f   x7G* 
59500.7  63 3d6.4s.(6D).6h   w7G* 
60285.3  63 3d6.4s.(6D).7f   v7G* 
60309.4  63 3d6.4s.(6D).7h   u7G* 
60817.5  63 3d6.4s.(6D).8f   t7G* 
60834.0  63 3d6.4s.(6D).8h   s7G* 
61182.9  63 3d6.4s.(6D).9f   r7G* 
61193.9  63 3d6.4s.(6D).9h   q7G* 
61443.0  63 3d6.4s.(6D).10f  p7G* 
61451.8  63 3d6.4s.(6D).10h  o7G* 
55611.6  77 3d6.4s.(6D).4f   z7H* 
58111.4  77 3d6.4s.(6D).5f   y7H* 
59471.0  77 3d6.4s.(6D).6f   x7H* 
59500.7  77 3d6.4s.(6D).6h   w7H* 
60290.8  77 3d6.4s.(6D).7f   v7H* 
60309.4  77 3d6.4s.(6D).7h   u7H* 
60820.8  77 3d6.4s.(6D).8f   t7H* 
60834.0  77 3d6.4s.(6D).8h   s7H* 
60835.1  77 3d6.4s.(6D).8k   r7H* 
61185.1  77 3d6.4s.(6D).9f   q7H* 
61193.9  77 3d6.4s.(6D).9h   p7H* 
61193.9  77 3d6.4s.(6D).9k   o7H* 
61445.2  77 3d6.4s.(6D).10f  n7H* 
31715.2   1 3d6.4s2(0S).0s   a1S  
25969.3   3 3d7.(2P).4s      a1P  
27760.2   5 3d7.(2D).4s      a1D  
34643.0   5 3d8.(2G).0s      b1D  
61864.4   5 3d6.4s.(2D).4s   c1D  
41015.4   7 3d6.4s.(2F).4s   a1F  
52662.9   7 3d7.(2F).4s      b1F  
50244.3   1 3d7.(2P).4p      z1S* 
59517.1   1 3d6.4s.(2P).4p   y1S* 
50234.5   3 3d7.(2P).4p      z1P*  
56105.4   3 3d7.(2D).4p      y1P* 
59485.3   3 3d7.(2D).5p      x1P* 
47478.9   5 3d6.4s.(2P).4p   z1D* 
54518.6   5 3d7.(2P).4p      y1D* 
57093.0   5 3d6.4s.(2F).4p   x1D* 
59367.9   5 3d7.(2D).4p      w1D* 
50694.3   7 3d6.4s.(2F).4p   z1F* 
53355.4   7 3d7.(2G).4p      y1F* 
57420.1   7 3d6.4s.(2G).4p   x1F* 
24448.4   9 3d7.(2G).4s      a1G  
29592.9   9 3d6.4s2(6D).0s   b1G  
60870.2   9 3d7.(2G).5s      c1G  
30314.9  11 3d7.(2H).4s      a1H  
31451.8  13 3d6.4s2(6D).0s   a1I  
48893.5   9 3d7.(2G).4p      z1G* 
50437.5   9 3d7.(2H).4p      y1G* 
52409.4   9 3d6.4s.(2F).4p   x1G* 
58058.7   9 3d6.4s.(2G).4p   w1G* 
49934.9  11 3d7.(2G).4p      z1H* 
53752.6  11 3d7.(2H).4p      y1H* 
57726.2  11 3d6.4s.(2G).4p   x1H* 
61603.2  11 3d6.4s.(2G).4p   w1H* 
