#E[cm⁻¹]     g  configuration         term  p  ref
109492.9     3  2s2.2p3.(4S*).18d      3D*  o  NIST
109498.0     5  2s2.2p3.(4S*).18d      3D*  o  NIST
109499.0     7  2s2.2p3.(4S*).18d      3D*  o  NIST
109499.0     3  2s2.2p3.(4S*).19s      3S*  o  NIST
109533.2     7  2s2.2p3.(4S*).19d      3D*  o  NIST
109533.2     3  2s2.2p3.(4S*).19d      3D*  o  NIST
109533.2     5  2s2.2p3.(4S*).19d      3D*  o  NIST
109533.3     3  2s2.2p3.(4S*).20s      3S*  o  NIST
109561.5     7  2s2.2p3.(4S*).20d      3D*  o  NIST
109561.5     5  2s2.2p3.(4S*).20d      3D*  o  NIST
109561.5     3  2s2.2p3.(4S*).20d      3D*  o  NIST
109562.3     3  2s2.2p3.(4S*).21s      3S*  o  NIST
109589.0     3  2s2.2p3.(4S*).22s      3S*  o  NIST
109589.3     3  2s2.2p3.(4S*).21d      3D*  o  NIST
109589.3     7  2s2.2p3.(4S*).21d      3D*  o  NIST
109589.3     5  2s2.2p3.(4S*).21d      3D*  o  NIST
109610.5     3  2s2.2p3.(4S*).22d      3D*  o  NIST
109610.5     7  2s2.2p3.(4S*).22d      3D*  o  NIST
109610.5     3  2s2.2p3.(4S*).23s      3S*  o  NIST
109610.5     5  2s2.2p3.(4S*).22d      3D*  o  NIST
109630.0     5  2s2.2p3.(4S*).23d      3D*  o  NIST
109630.0     7  2s2.2p3.(4S*).23d      3D*  o  NIST
109630.0     3  2s2.2p3.(4S*).24s      3S*  o  NIST
109630.0     3  2s2.2p3.(4S*).23d      3D*  o  NIST
109647.7     3  2s2.2p3.(4S*).24d      3D*  o  NIST
109647.7     7  2s2.2p3.(4S*).24d      3D*  o  NIST
109647.7     3  2s2.2p3.(4S*).25s      3S*  o  NIST
109647.7     5  2s2.2p3.(4S*).24d      3D*  o  NIST
109661.4     5  2s2.2p3.(4S*).25d      3D*  o  NIST
109661.4     3  2s2.2p3.(4S*).25d      3D*  o  NIST
109661.4     3  2s2.2p3.(4S*).26s      3S*  o  NIST
109661.4     7  2s2.2p3.(4S*).25d      3D*  o  NIST
109673.5     7  2s2.2p3.(4S*).26d      3D*  o  NIST
109673.5     5  2s2.2p3.(4S*).26d      3D*  o  NIST
109673.5     3  2s2.2p3.(4S*).27s      3S*  o  NIST
109673.5     3  2s2.2p3.(4S*).26d      3D*  o  NIST
109686.2     3  2s2.2p3.(4S*).28s      3S*  o  NIST
109686.2     7  2s2.2p3.(4S*).27d      3D*  o  NIST
109686.2     3  2s2.2p3.(4S*).27d      3D*  o  NIST
109686.2     5  2s2.2p3.(4S*).27d      3D*  o  NIST
109695.9     3  2s2.2p3.(4S*).28d      3D*  o  NIST
109695.9     7  2s2.2p3.(4S*).28d      3D*  o  NIST
109695.9     3  2s2.2p3.(4S*).29s      3S*  o  NIST
109695.9     5  2s2.2p3.(4S*).28d      3D*  o  NIST
109705.4     7  2s2.2p3.(4S*).29d      3D*  o  NIST
109705.4     3  2s2.2p3.(4S*).30s      3S*  o  NIST
109705.4     5  2s2.2p3.(4S*).29d      3D*  o  NIST
109705.4     3  2s2.2p3.(4S*).29d      3D*  o  NIST
109713.7     3  2s2.2p3.(4S*).31s      3S*  o  NIST
109713.7     7  2s2.2p3.(4S*).30d      3D*  o  NIST
109713.7     3  2s2.2p3.(4S*).30d      3D*  o  NIST
109713.7     5  2s2.2p3.(4S*).30d      3D*  o  NIST
109837.026   4  2s2.2p3                4S*  o  NIST
113204.445   3  2s2.2p3.(2D*).3p       1P   e  NIST
113294.816   7  2s2.2p3.(2D*).3p       3D   e  NIST
113294.854   5  2s2.2p3.(2D*).3p       3D   e  NIST
113298.320   3  2s2.2p3.(2D*).3p       3D   e  NIST
113714.444   9  2s2.2p3.(2D*).3p       3F   e  NIST
113721.413   7  2s2.2p3.(2D*).3p       3F   e  NIST
113727.165   5  2s2.2p3.(2D*).3p       3F   e  NIST
113910.957   5  2s2.2p3.(2P*).3s       3P*  o  NIST
113921.391   3  2s2.2p3.(2P*).3s       3P*  o  NIST
113927.534   1  2s2.2p3.(2P*).3s       3P*  o  NIST
113996.239   7  2s2.2p3.(2D*).3p       1F   e  NIST
115918.143   3  2s2.2p3.(2P*).3s       1P*  o  NIST
116631.094   5  2s2.2p3.(2D*).3p       1D   e  NIST
122419.7     7  2s2.2p3.(2D*).4s       3D*  o  NIST
